ID,Specie,Year,Month,Author,Locality,Latitude,Longitude,Depth (m),Area (Km2),Estimated coordinates,Reference,ANP,Protection Level,Validation,Estimated Area,Area Loss,Loss Index,Pollution ,Coastal Modification,Biological Resource Use,Climate Change ,Minning,Threath index ,Read List Category,Regin_1,Region, ,Municip,Categor,Zonifcc,Subznfc,nombr_1,Psc_Cmr,Psc_Dpr,Pesca,Buceo
24,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Isla Tiburon,28.89,-112.24,DD,30.30 Ha,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
25,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Punta Arenas,26.75,-111.75,DD,544000,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo, Gulf of California, Mexico",No,0,DD,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
26,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Bahia El Sargento,29.32,-112.31,DD,1162000,Yes,"Extent, stability and distributional patterns of the annual eelgrass Zostera marina  in the Canal del Infiernillo. Gulf of California. Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,DD,537047.13 M2,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
27,Halodule wrightii,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.17,-112.27,DD,3045000,Yes,"Inventory, monitoring and impact assessment of marine biodiversity in the Seri Indian territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
28,Zostera marina,1999-2001,October-June,Torre-Cosio et al.,Canal del Infiernillo,29.13,-112.22,DD,3642000,Yes,"Inventory, monitoring and impact assessment of marine biodiversity in the Seri Indian territory, Gulf of California, Mexico",Sitio Ramsar Canal del Infiernillo y esteros del territorio Comcaac (Xepe Coosot),1,Yes,,,,0,0,0,,0,,,,Canal del Infiernillo ,Sonora,,,,,,,,,
29,Zostera marina,1970,August,Ortega y Oliva-Martinez,Agiabampo,26.23,-109.14,DD,DD,No,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,DD,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
30,Zostera marina,1970,August,Ortega y Oliva-Martinez,Agiabampo,26.24,-109.17,DD,DD,No,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,DD,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
31,Zostera marina,1970,February,Ortega y Oliva-Martinez,Agiabampo,26.24,-109.28,DD,DD,No,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,Yes,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
32,Zostera marina,1970,February-May,Ortega y Oliva-Martinez,Agiabampo,26.23,-109.28,DD,DD,No,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,Yes,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
33,Zostera marina,1970,May,Ortega y Oliva-Martinez,Agiabampo,26.28,-109.24,DD,DD,No,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,No,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
34,Halodule wrightii,1970,May,Ortega y Oliva-Martinez,Agiabampo,26.33,-109.21,DD,DD,Yes,La vegetacion sumergida en la Laguna Agiabampo,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,NO,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
35,Ruppia maritima,2009,DD,Meling-Lopez,Agiabampo,26.37,-109.17,DD,DD,No,Com.Pers.,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,No,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
36,Ruppia maritima,2009,DD,Meling-Lopez,Agiabampo,26.44,-109.24,DD,DD,No,Com.Pers.,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,DD,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
37,Ruppia maritima,2014,DD,Lopez-Calderon et al.,Agiabampo,26.36,-109.23,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,No,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
38,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Agiabampo,26.33,-109.21,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,DD,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
39,Zostera marina,2000-2002,March-June,Muniz-Salazar et al.,Agiabampo,26.36,-109.23,DD,DD,No,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,No,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
40,Zostera marina,2000-2002,March-June,Riosmena-Rodriguez et al.,Agiabampo,26.36,-109.23,DD,DD,Yes,Conservation status of Zostera marina populations at Mexican Pacific,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,No,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
41,Zostera marina,2000-2002,March-June,Talbots et al.,Agiabampo,26.38,-109.25,DD,DD,Yes,The structure of genetic diversity in Eelgrass (Zostera marina L.) along the North Pacific and Bering Sea coasts of Alaska,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,DD,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
42,Zostera marina,2000-2002,November-May,Muniz-Salazar et al.,Agiabampo,26.36,-109.23,DD,DD,No,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,No,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
43,Ruppia maritima,1966,May,Gonzalez,Ahome,25.58,-109.12,DD,DD,Yes,MEXU,No,0,Yes,DD,DD,,1,1,1,,0,,,,Topolobampo,Sinaloa,,,,,,,,,
44,Zostera marina,1966,May,Gonzalez,Ahome,25.58,-109.12,DD,DD,Yes,MEXU,No,0,Yes,DD,DD,,1,1,1,,0,,,,Topolobampo,Sinaloa,,,,,,,,,
45,Zostera marina,1970,DD,Den Hartog,Altata,24.57,-107.84,DD,DD,No,The seagrasses of the world,Sitio Ramsar Ensenada de Pabellones,1,No,DD,DD,,1,1,1,,0,,,,Altata,Sinaloa,,,,,,,,,
46,Zostera marina,1970,DD,Den Hartog,Altata,24.63,-107.94,DD,DD,No,The seagrasses of the world,Sitio Ramsar Ensenada de Pabellones,1,Yes,DD,DD,,1,1,1,,0,,,,Altata,Sinaloa,,,,,,,,,
47,Zostera marina,1976,DD,Felger y Lowe,Altata,24.63,-107.94,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Ensenada de Pabellones,1,Yes,DD,DD,,1,1,1,,0,,,,Altata,Sinaloa,,,,,,,,,
48,Ruppia maritima,1976,DD,Felger y Lowe,Bacochibampo,26.31,-109.22,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,No,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
49,Zostera marina,1976,DD,Felger y Lowe,Bacochibampo,26.31,-109.22,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,Sitio Ramsar Sistema lagunar Agiabampo-Bacorehuis-Rio Fuerte antiguo,1,No,DD,DD,,1,0,1,,0,,,,Agiabampo,Sonora,,,,,,,,,
50,Zostera marina,1976,DD,Felger y Lowe,Bahia Concepcion,26.7777,-111.8293,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
51,Zostera marina,1979,March,Cliffton,Bahia Concepcion,26.7777,-111.8293,DD,DD,Yes,MEXU,No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
52,Ruppia maritima,1995,January-May,Santamaria-Gallegos et al.,Bahia Concepcion,26.779,-111.867,DD,DD,Yes,"Ciclo de crecimiento y fenologia de la fanerogama Zostera marina L. en Punta Arena, Bahia Concepcion, B.C.S., Mexico",No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
53,Zostera marina,2000,March-April,Santamaria-Gallegos et al.,Bahia Concepcion,26.78,-111.86,3,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
54,Zostera marina,2000,March-April,Santamaria-Gallegos et al.,Bahia Concepcion,26.7813,-111.8643,3,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
55,Zostera marina,2000,March-April,Santamaria-Gallegos et al.,Bahia Concepcion,26.7813,-111.8643,3,DD,Yes,"Estudio de las praderas de fanerogamas marinas en Baja California Sur (Mexico): Ciclo de vida y estrategias reproductivas de Zostera marina, Halodule wrightii y Halophila decipiens",No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
56,Zostera marina,2006,DD,Ulloa et al.,Bahia Concepcion,26.779,-111.8672,DD,DD,Yes,Planeacion ecorregional para la conservacion marina: Golfo de California y costa occidental de Baja California Sur,No,0,DD,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
57,Zostera marina,2009,January,Riosmena-Rodriguez et al.,Bahia Concepcion,26.779,-111.8672,DD,DD,No,Conservation status of Zostera marina populations at Mexican Pacific,No,0,DD,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
58,Zostera marina,2009,June,Lopez-Calderon et al.,Bahia Concepcion,26.78,-111.86,DD,DD,No,Zostera marina meadows from the Gulf of California conservation status,No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
59,Zostera marina,2009,May,Lopez-Calderon et al.,Bahia Concepcion,26.779,-111.8672,DD,DD,No,Zostera marina meadows from the Gulf of California conservation status,No,0,DD,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
60,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia Concepcion,26.78,-111.86,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
61,Zostera marina,1994-1995,December-May,Santamaria-Gallegos et al.,Bahia Concepcion,26.779,-111.867,DD,DD,Yes,Phenology and growth cycle of annual subtidal eelgrass in a subtropical locality,No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
62,Zostera marina,2000-2002,March-June,Talbots et al.,Bahia Concepcion,26.76,-111.86,DD,DD,Yes,The structure of genetic diversity in Eelgrass (Zostera marina L.) along the North Pacific and Bering Sea coasts of Alaska,No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
63,Zostera marina,2000-2002,March-June,Muniz-Salazar et al.,Bahia Concepcion,26.78,-111.86,DD,DD,Yes,Population genetic structure of annual and perennial populations of Zostera marina along the Pacific coast of Baja California and the Gulf of California,No,0,Yes,,,,1,1,0,,0,,,,Bahia Concepcion,Baja California Sur,,,,,,,,,
64,Zostera marina,1974,April,Felger et al.,Bahia de Kino,28.84,-111.97,DD,DD,Yes,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
65,Ruppia maritima,1975,June,Felger,Bahia de Kino,28.84,-111.97,DD,DD,Yes,ARIZ,Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
66,Zostera marina,1975,June,Felger et al.,Bahia de Kino,28.84,-111.97,DD,DD,Yes,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
67,Ruppia maritima,1980,September,Felger y Schmalzel,Bahia de Kino,28.84,-111.97,DD,DD,Yes,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
68,Zostera marina,1983,January,Felger et al.,Bahia de Kino,28.84,-111.97,DD,DD,Yes,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
69,Zostera marina,2002,March,Bourillon-Moreno,Bahia de Kino,28.84,-111.997,DD,DD,Yes,"Exclusive fishing zone as a strategy for managing fishery resources by the Seri Indians, Gulf of California, Mexico",Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
70,Zostera marina,2006,DD,Ulloa et al.,Bahia de Kino,28.84,-111.97,DD,DD,Yes,Planeacion ecorregional para la conservacion marina: Golfo de California y costa occidental de Baja California Sur,Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
71,Zostera marina,2007,April,Felger,Bahia de Kino,28.84,-111.97,DD,DD,No,ARIZ,Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
72,Zostera marina,2007,April,Felger,Bahia de Kino,28.84,-111.97,DD,DD,No,UNISON:USON,Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
73,Zostera marina,2007,April,Felger et al.,Bahia de Kino,28.84,-111.97,DD,DD,No,MEXU,Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
74,Zostera marina,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia de Kino,28.84,-111.97,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
75,Zostera marina,1986-1988,DD,Ramirez-Garcia y Lot,Bahia de Kino,28.76,-111.88,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",Sitio Ramsar Humedales de la laguna de La Cruz,1,Yes,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
76,Zostera marina,2000-2002,October-May,Basurto,Bahia de Kino,28.84,-111.997,DD,DD,Yes,Biological and ecological mechanisms supporting marine self-governance: the Seri callo de hacha fishery in Mexico,Sitio Ramsar Humedales de la laguna de La Cruz,1,No,,,,1,1,1,,0,,,,Bahia de Kino,Sonora,,,,,,,,,
77,Ruppia maritima,1921,DD,Johnston,Bahia de La Paz,24.14,-110.39,DD,DD,Yes,Expedition of the California Academy of Sciences to the Gulf of California,No,0,No,,,,1,1,1,,0,,,,La Paz,Baja California Sur,,,,,,,,,
78,Ruppia maritima,1976,DD,Felger y Lowe,Bahia de La Paz,24.14,-110.39,DD,DD,Yes,The Island and coastal vegetation and flora of the Northern part of Gulf of California,No,0,No,,,,1,1,1,,0,,,,La Paz,Baja California Sur,,,,,,,,,
79,Ruppia maritima,1987,DD,Ramirez-Garcia y Lot,Bahia de La Paz,24.14,-110.39,DD,DD,No,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",No,0,No,,,,1,1,1,,0,,,,La Paz,Baja California Sur,,,,,,,,,
80,Ruppia maritima,2009,May,Lopez-Calderon et al.,Bahia de La Paz,24.14,-110.39,DD,DD,Yes,La planta acuatica Ruppia maritima en el noroeste de Mexico: aumento de su presencia y efectos en la cadena trofica.,No,0,No,,,,1,1,1,,0,,,,La Paz,Baja California Sur,,,,,,,,,
81,Ruppia maritima,2009,May,Lopez-Calderon et al.,Bahia de La Paz,24.14,-110.39,DD,DD,No,"Outstanding appearance of Ruppia maritima along Baja California Sur, Mexico and its influence in trophic networks",No,0,No,,,,1,1,1,,0,,,,La Paz,Baja California Sur,,,,,,,,,
82,Ruppia maritima,1986-1988,January-June,Ramirez-Garcia y Lot,Bahia de La Paz,24.14,-110.39,DD,DD,Yes,"La distribucion del manglar y de los pastos marinos en el Golfo de California, Mexico",No,0,No,,,,1,1,1,,0,,,,La Paz,Baja California Sur,,,,,,,,,
83,Ruppia maritima,1991,April,Ortiz-Calderon,Bahia de los Angeles,28.58,-113.12,DD,DD,No,MEXU,"Zona marina Bahia de los Angeles, Canales de Ballenas y de Salsipuedes",1,No,,,,1,0,1,,0,,,Peninsula de Baja California y Pacifico Norte,Bahia de los Angeles,Baja California,Frente al municipio de Ensenada,Zona de Amortiguamiento,Zona de Aprovechamiento Sustentable de los Recursos Naturales,Subzona de Aprovechamiento Sustentable de los Recursos Naturales,Este de la Isla Angel de la Guarda - Bahï¿½a San Rafael B,SI,SI,Permitida,Permitido
